game_id,minute,side,type
3479,90,home,red_card
3486,46,home,red_card
3499,26,away,red_card
3501,63,home,red_card
3503,58,away,red_card
3511,18,away,red_card
3516,79,away,red_card
3517,59,away,red_card
3521,45,home,red_card
3521,45,away,red_card
3525,49,home,red_card
3527,53,away,red_card
3527,60,away,red_card
3538,34,away,red_card
3550,90,away,red_card
3553,81,home,red_card
3560,65,away,red_card
3563,88,away,red_card
3578,84,away,red_card
3590,85,home,red_card
3604,68,home,red_card
3605,90,home,red_card
3619,52,away,red_card
3620,51,away,red_card
3621,62,away,red_card
3624,73,home,red_card
3624,82,away,red_card
3624,90,away,red_card
3629,36,away,red_card
3636,47,home,red_card
3638,11,home,red_card
3648,30,away,red_card
3649,90,away,red_card
3650,58,away,red_card
3662,44,away,red_card
3665,54,home,red_card
3665,74,away,red_card
3674,48,home,red_card
3675,33,away,red_card
3683,14,away,red_card
3685,35,away,red_card
3690,47,away,red_card
3694,58,away,red_card
3695,38,home,red_card
3695,70,away,red_card
3711,79,home,red_card
3716,34,home,red_card
3716,90,home,red_card
3723,22,home,red_card
3728,73,away,red_card
3739,74,home,red_card
3741,74,home,red_card
3741,45,away,red_card
3742,82,away,red_card
3760,34,away,red_card
3762,54,away,red_card
3771,55,away,red_card
3773,72,away,red_card
3780,36,away,red_card
3812,73,home,red_card
3813,90,home,red_card
3816,90,home,red_card
3817,81,home,red_card
3817,81,away,red_card
3818,55,away,red_card
3820,75,home,red_card
3825,60,home,red_card
3825,65,home,red_card
3829,59,home,red_card
3830,80,away,red_card
3839,80,away,red_card
3879,90,away,red_card
3888,75,away,red_card
3891,36,away,red_card
3895,45,home,red_card
3897,82,away,red_card
3903,90,away,red_card
3905,67,away,red_card
3928,80,away,red_card
3936,55,away,red_card
3943,43,away,red_card
3943,48,away,red_card
3963,24,home,red_card
3964,44,away,red_card
3979,82,away,red_card
3983,50,home,red_card
3988,73,away,red_card
3995,47,home,red_card
3997,90,away,red_card
4000,79,home,red_card
4008,90,away,red_card
4011,90,away,red_card
4012,90,home,red_card
4012,88,away,red_card
4017,69,away,red_card
4020,74,home,red_card
4020,90,away,red_card
4020,90,away,red_card
4023,62,home,red_card
4023,53,away,red_card
4034,85,away,red_card
4039,82,away,red_card
4050,76,away,red_card
4051,45,home,red_card
4058,88,away,red_card
4059,79,home,red_card
4060,67,home,red_card
4071,48,home,red_card
4076,29,away,red_card
4080,45,home,red_card
4087,39,away,red_card
4088,62,away,red_card
4089,76,away,red_card
4091,72,home,red_card
4119,41,away,red_card
4123,90,home,red_card
4127,51,away,red_card
4132,72,home,red_card
4134,90,home,red_card
4136,60,away,red_card
4137,40,home,red_card
4141,90,home,red_card
4152,87,home,red_card
4156,90,away,red_card
4164,45,away,red_card
4164,83,away,red_card
4167,90,home,red_card
4167,90,away,red_card
4172,87,away,red_card
4173,86,away,red_card
4176,85,home,red_card
4176,64,away,red_card
4180,83,home,red_card
4185,60,away,red_card
4189,90,home,red_card
4193,33,home,red_card
4193,84,away,red_card
4201,81,away,red_card
4203,90,home,red_card
4206,61,away,red_card
4207,90,away,red_card
4212,70,away,red_card
4212,72,away,red_card
4214,68,away,red_card
4224,80,away,red_card
4231,78,home,red_card
4242,30,home,red_card
4243,28,away,red_card
4245,69,away,red_card
4247,28,away,red_card
4249,90,home,red_card
4249,27,away,red_card
4250,78,away,red_card
4252,27,away,red_card
4261,69,away,red_card
4265,76,away,red_card
4274,60,away,red_card
4280,82,home,red_card
4285,83,away,red_card
4313,61,home,red_card
4316,53,home,red_card
4316,61,home,red_card
4316,90,away,red_card
4322,61,away,red_card
4338,34,away,red_card
4340,90,home,red_card
4340,90,home,red_card
4340,51,away,red_card
4342,39,away,red_card
4347,90,home,red_card
4356,56,away,red_card
4357,90,home,red_card
4359,90,home,red_card
4376,43,home,red_card
4380,21,home,red_card
4388,8,home,red_card
4389,42,home,red_card
4389,38,away,red_card
4392,87,home,red_card
4400,48,away,red_card
4400,57,away,red_card
4406,59,away,red_card
4406,78,away,red_card
4409,21,away,red_card
4441,80,home,red_card
4442,67,away,red_card
4458,30,home,red_card
4464,31,home,red_card
4471,74,away,red_card
4478,90,away,red_card
4481,71,away,red_card
4491,90,home,red_card
4493,85,home,red_card
4494,77,away,red_card
4498,83,away,red_card
4505,90,home,red_card
4511,55,home,red_card
4512,84,home,red_card
4520,13,home,red_card
4529,76,away,red_card
4530,90,home,red_card
4532,51,away,red_card
4535,68,away,red_card
4542,58,away,red_card
4555,90,away,red_card
4560,90,away,red_card
4563,54,away,red_card
4567,73,home,red_card
4574,62,home,red_card
4579,38,away,red_card
4582,71,away,red_card
4582,77,away,red_card
4588,86,away,red_card
4590,28,home,red_card
4610,82,home,red_card
4614,90,away,red_card
4615,53,away,red_card
4622,90,away,red_card
4624,34,away,red_card
4630,45,away,red_card
4636,65,home,red_card
4638,49,away,red_card
4645,90,home,red_card
4661,62,away,red_card
4664,85,home,red_card
4664,45,away,red_card
4676,89,away,red_card
4680,12,home,red_card
4686,85,home,red_card
4710,41,home,red_card
4713,90,away,red_card
4726,89,home,red_card
4726,90,away,red_card
4728,35,away,red_card
4730,80,home,red_card
4740,90,away,red_card
4742,11,home,red_card
4742,29,home,red_card
4744,25,home,red_card
4744,90,home,red_card
4747,48,home,red_card
4749,21,home,red_card
4749,90,away,red_card
4755,75,home,red_card
4756,63,away,red_card
4757,67,away,red_card
4764,25,away,red_card
4771,70,away,red_card
4777,49,home,red_card
4781,68,away,red_card
4783,78,away,red_card
4785,43,home,red_card
4790,38,away,red_card
4790,81,away,red_card
4801,90,away,red_card
4818,90,home,red_card
4818,90,home,red_card
4818,90,away,red_card
4819,82,away,red_card
4822,66,home,red_card
4831,54,home,red_card
4831,57,away,red_card
4836,59,away,red_card
4837,66,away,red_card
4838,62,home,red_card
4838,33,away,red_card
4840,64,away,red_card
4845,86,home,red_card
4853,90,away,red_card
4859,79,home,red_card
4861,41,home,red_card
4863,73,away,red_card
4876,85,away,red_card
4883,85,away,red_card
4902,77,away,red_card
4905,54,away,red_card
4908,89,home,red_card
4914,85,away,red_card
4915,73,away,red_card
4917,90,away,red_card
4924,69,home,red_card
4924,69,away,red_card
4930,61,home,red_card
4934,80,away,red_card
4939,82,home,red_card
4947,31,home,red_card
4964,73,home,red_card
4968,82,away,red_card
4977,70,away,red_card
4985,19,home,red_card
4989,46,away,red_card
4995,43,away,red_card
4998,75,away,red_card
5001,65,home,red_card
5002,72,home,red_card
5005,41,home,red_card
5009,55,home,red_card
5011,90,away,red_card
5017,29,away,red_card
5024,20,home,red_card
5036,33,away,red_card
5041,90,away,red_card
5043,77,away,red_card
5051,56,away,red_card
5052,14,away,red_card
5066,81,away,red_card
5070,90,away,red_card
5072,66,away,red_card
5076,57,away,red_card
5077,45,home,red_card
5078,83,home,red_card
5093,60,away,red_card
5098,32,away,red_card
5100,45,home,red_card
5100,57,home,red_card
5100,79,away,red_card
5100,90,away,red_card
5102,70,home,red_card
5104,65,home,red_card
5104,65,away,red_card
5113,87,home,red_card
5113,88,home,red_card
5116,53,home,red_card
5122,70,home,red_card
5122,60,away,red_card
5132,90,home,red_card
5136,90,home,red_card
5143,80,home,red_card
5145,37,away,red_card
5145,38,away,red_card
5148,53,away,red_card
5158,80,home,red_card
5161,74,home,red_card
5161,76,home,red_card
5162,80,home,red_card
5163,90,away,red_card
5167,61,away,red_card
5170,35,away,red_card
5189,62,away,red_card
5197,90,away,red_card
5203,74,away,red_card
5210,45,away,red_card
5234,78,home,red_card
5234,79,away,red_card
5245,86,away,red_card
5248,53,home,red_card
5250,17,away,red_card
5268,6,home,red_card
5268,53,home,red_card
5274,90,away,red_card
5276,90,home,red_card
5278,52,away,red_card
5282,86,home,red_card
5286,68,away,red_card
5292,76,home,red_card
5298,12,home,red_card
5308,87,home,red_card
5314,17,away,red_card
5318,67,home,red_card
5319,56,away,red_card
5320,71,home,red_card
5332,57,away,red_card
5334,84,home,red_card
5335,40,away,red_card
5357,90,away,red_card
5360,82,home,red_card
5367,66,home,red_card
5370,29,away,red_card
5374,32,away,red_card
5376,90,home,red_card
5376,90,home,red_card
5376,90,away,red_card
5383,90,away,red_card
5385,63,home,red_card
5396,87,home,red_card
5396,51,away,red_card
5396,58,away,red_card
5397,68,away,red_card
5399,72,away,red_card
5401,32,away,red_card
5407,80,home,red_card
5410,56,away,red_card
5418,90,home,red_card
5421,32,home,red_card
5421,52,home,red_card
5422,58,home,red_card
5434,52,home,red_card
5434,90,away,red_card
5435,32,away,red_card
5444,90,home,red_card
5446,9,away,red_card
5448,87,away,red_card
5451,68,home,red_card
5458,45,home,red_card
5464,90,away,red_card
5467,62,home,red_card
5467,60,away,red_card
5467,82,away,red_card
5480,90,away,red_card
5483,57,home,red_card
5485,79,away,red_card
5496,90,away,red_card
5497,26,away,red_card
5499,39,home,red_card
5514,73,home,red_card
5520,42,home,red_card
5520,90,home,red_card
5520,90,home,red_card
5520,90,away,red_card
5521,65,away,red_card
5523,90,away,red_card
5525,41,home,red_card
5526,27,away,red_card
5548,73,home,red_card
5548,90,away,red_card
5561,71,away,red_card
5562,66,away,red_card
5564,51,away,red_card
5570,74,away,red_card
5576,87,home,red_card
5580,90,home,red_card
5580,45,away,red_card
5580,90,away,red_card
5584,64,home,red_card
5588,41,away,red_card
5591,66,away,red_card
5594,82,home,red_card
5618,86,home,red_card
5622,90,home,red_card
5622,90,away,red_card
5625,34,home,red_card
5625,86,away,red_card
5629,90,away,red_card
5631,82,home,red_card
5637,32,away,red_card
5639,37,home,red_card
5648,56,away,red_card
5655,90,away,red_card
5659,45,away,red_card
5665,14,away,red_card
5667,90,away,red_card
5670,90,home,red_card
5676,49,away,red_card
5680,34,away,red_card
5683,42,home,red_card
5684,88,home,red_card
5685,67,away,red_card
5692,51,away,red_card
5695,37,home,red_card
5698,45,away,red_card
5699,28,away,red_card
5702,90,away,red_card
5703,90,home,red_card
5704,85,home,red_card
5704,81,away,red_card
5704,85,away,red_card
5713,86,home,red_card
5722,50,home,red_card
5730,72,home,red_card
5732,80,home,red_card
5733,76,away,red_card
5736,30,away,red_card
5736,45,away,red_card
5741,73,home,red_card
5746,84,away,red_card
5749,53,away,red_card
5750,90,away,red_card
5753,77,home,red_card
5756,76,home,red_card
5770,81,away,red_card
5773,45,away,red_card
5774,39,home,red_card
5774,44,away,red_card
5776,90,home,red_card
5777,89,home,red_card
5781,23,away,red_card
5799,52,away,red_card
5805,44,away,red_card
5820,19,home,red_card
5821,33,home,red_card
5838,5,home,red_card
5838,40,home,red_card
5847,90,away,red_card
5852,82,home,red_card
5855,81,home,red_card
5856,86,away,red_card
5858,69,away,red_card
5859,80,away,red_card
5861,73,home,red_card
5875,90,away,red_card
5884,90,away,red_card
5891,67,away,red_card
5891,90,away,red_card
5894,74,home,red_card
5897,83,home,red_card
5901,69,away,red_card
5904,76,away,red_card
5905,69,away,red_card
5905,77,away,red_card
5920,90,home,red_card
5922,71,away,red_card
5923,61,home,red_card
5931,45,home,red_card
5931,28,away,red_card
5936,90,away,red_card
5937,57,home,red_card
5937,67,away,red_card
5960,42,away,red_card
5988,86,away,red_card
5994,63,away,red_card
5994,77,away,red_card
6005,62,away,red_card
6005,77,away,red_card
6008,77,away,red_card
6009,40,away,red_card
